section_code,count
0054,59
0259,33
0245,5
0600,6
0236,8
0630,3
0809,3
0229,2
0827,8
0207,4
0248,1
0604,4
0632,1
0618,4
0254,9
0431,1
0956,3
0642,5
0201,131
0219,8
0220,10
0614,1
0627,10
1201,2
0427,16
1002,2
0626,4
0817,14
0653,8
0258,2
0226,7
0222,2
0237,5
0403,13
0655,14
0647,5
0666,3
0471,3
0467,2
0076,2
0060,3
0892,6
0914,1
0616,1
0639,5
0660,9
0134,1
0825,3
0814,5
0200,15
0430,5
0644,7
0036,2
0848,1
0277,2
0242,5
0216,4
0227,9
0019,4
0057,1
0902,6
0606,2
0608,1
0619,1
0670,1
0006,1
0033,1
0208,4
0436,5
0009,2
0897,4
0898,4
0823,2
0218,16
0611,3
0255,2
0428,2
0206,2
0704,4
0634,2
0641,1
0669,19
0030,1
0039,1
0055,1
0282,3
0224,2
0061,1
0939,12
0609,1
0615,1
0663,2
0672,8
0674,1
0221,7
0707,1
0815,10
0828,1
0819,6
0225,9
0407,1
0491,1
0453,8
0126,1
0907,1
0912,1
0883,1
0838,42
0217,2
1202,6
0023,10
0016,17
0058,11
0628,2
0228,1
0816,51
0231,6
0839,16
0652,5
0836,15
0885,7
0886,4
0281,3
0276,1
0263,123
0416,8
0400,5
0405,1
0637,2
0705,1
0603,3
0123,13
0008,1
0624,2
0270,179
0889,4
0811,1
0822,14
0230,1
0010,1
0455,2
0053,1
0933,2
0629,2
0418,3
0458,6
0246,1
0247,1
0235,2
0437,6
0412,5
0818,5
0434,4
0938,1
0840,3
0046,15
0631,2
0435,4
0429,6
0042,3
0806,1
0820,1
0012,1
0232,1
0668,1
0024,1
0233,8
0043,1
0804,11
0911,1
0457,1
0601,2
0274,1
0279,36
0271,1
0128,11
0267,1
0665,3
0280,2
0250,1
0283,2
0034,1
0035,1
0056,2
0602,5
0605,1
0239,1
0940,5
0900,1
0265,448
0249,3
0884,2
0419,1
0059,1
0026,1
0202,2
0205,2
0893,1
0415,2
0812,7
0495,1
0421,1
0260,1
0213,1
0645,1
0266,20
0269,89
0268,83
0264,437
0659,2
