no.,volumn out parcel
0,三玉段三小段407
1,玉成段五小段669
2,大安段三小段19
3,開明段二小段509
4,西松段一小段694-5
5,福德段一小段213
6,南港段四小段153-1
7,龍泉段二小段603
8,龍泉段三小段576
9,敦化段一小段62-3
10,福林段三小段777
11,黎和段二小段563
12,實踐段三小段36
13,景美段五小段310-2
14,景美段五小段310-3
15,景美段五小段298
16,景美段五小段379
17,景美段五小段310(部份)
18,景美段五小段379
19,景美段五小段379-1
20,圓環段三小段560
21,圓環段三小段560-1
22,圓環段三小段560-22
23,圓環段三小段560-23
24,福星段二小段759
25,西松段一小段694-1
26,西松段一小段694-5
27,西松段一小段964-11
28,西松段一小段694-17
29,福星段二小段759
30,懷生段二小段161
31,永吉段一小段553
32,百齡段三小段307-1
33,百齡段三小段360
34,大安段二小段279-2
35,三玉段五小段213
36,瑞安段一小段72
37,瑞安段一小段79
38,成功段一小段190
39,寶清段一小段55
40,永吉段三小段395
41,逸仙段二小段463
42,城中段一小段359
43,城中段一小段360
44,榮星段六小段339
45,西松段一小段694-2
46,圓環段三小段560
47,圓環段三小段560-1
48,圓環段三小段560-22
49,圓環段三小段560-23
50,芝蘭段一小段120-1
51,信義段二小段60
52,圓環段三小段560
53,圓環段三小段560-1
54,圓環段三小段560-22
55,圓環段三小段560-23
56,金華段二小段188
57,金華段二小段189
58,金華段二小段191
59,金華段二小段197
60,金華段二小段203-2等4筆土
61,金華段二小段188
62,金華段二小段189
63,金華段二小段191
64,金華段二小段197
65,金華段二小段203-2等4筆土
66,仁愛段三小段141
67,仁愛段四小段6
68,敦化段一小段60-5
69,永春段一小段73
70,永春段一小段177
71,永春段一小段178
72,仁愛段五小段489
73,榮星段二小段185
74,福星段二小段759
75,瑞安段一小段72
76,瑞安段一小段79
77,城中段一小段359
78,城中段一小段360
79,一小段224
80,一小段241
81,百齡段六小段637
82,三興段三小段144
83,安段二小段494
84,三興段三小段125
85,三興段三小段126
86,三興段三小段127-1
87,陽明段二小段264
88,逸仙段二小段374
89,福德段三小段763
90,圓環段二小段284
91,仁愛段三小段145
92,復興段二小段435
93,學府段二小段2
94,懷生段三小段310
95,中山段四小段213
96,民生段12-13
97,雅祥段一小段620
98,玉成段三小段811
99,榮星段二小段300-2
100,潭美段三小段3
101,榮星段二小段640-1
102,碧湖段四小段67
103,碧湖段四小段70
104,潭美段三小段367-1
105,潭美段三小段851-1
106,實踐段三小段514
107,興隆段一小段171
108,立農段一小段256
109,奇岩段三小段253
110,敦化段三小段154-2
111,黎和段二小段432
112,吳興段二小段606-1
113,中南段二小段286-1
114,博嘉段三小段710
115,中南段二小段285-1
116,中南段二小段288-1
117,中南段二小段299-31
118,中南段二小段299-32
119,三玉段三小段132
120,三玉段三小段134
121,三玉段三小段135-1
122,光華段三小段11-2
123,金華段一小段84
124,榮星段五小段109
125,榮星段五小段109-1
126,祥和段二小段239
127,祥和段二小段339
128,華江段二小段621
129,三玉段五小段244
130,永平段一小段160
131,大同段一小段351
132,大同段一小段407
133,仁愛段四小段56
134,辛亥段四小段41
135,通化段六小段259
136,復興段三小段640-1
137,福和段一小段556
138,萬慶段三小段170
139,開明段二小段438
140,寶清段三小段646
141,寶清段五小段272-1
142,吳興段二小段598-1
143,逸仙段三小段456
144,福德段三小段62
145,南港段二小段180-1
146,青年段一小段451
147,華中段三小段118-2
148,華江段二小段350
149,瑞安段二小段693
150,德惠段三小段881
151,德惠段三小段881-3
152,河堤段二小段223
153,吳興段二小段463
154,新民段一小段309-2
155,新民段二小段201
156,新民段一小段309-2
157,新民段二小段201
158,新民段一小段309-2
159,新民段二小段201
160,新民段一小段309-2
161,新民段二小段201
162,三玉段一小段420-1
163,仁愛段二小段606
164,仁愛段二小段690
165,仁愛段四小段1
166,仁愛段四小段64
167,仁愛段四小段66
168,延吉段三小段491
169,福德段三小段238
170,福德段三小段240
171,福德段三小段270
172,福德段三小段272
173,中南段二小段300-1
174,福星段二小段759
175,福星段二小段759
176,城中段二小段531
177,城中段二小段632
178,城中段一小段359
179,城中段一小段360
180,圓環段三小段560
181,圓環段三小段560-1
182,圓環段三小段560-22
183,圓環段三小段560-23
184,圓環段三小段560
185,圓環段三小段560-1
186,圓環段三小段560-22
187,圓環段三小段560-23
188,復興段二小段352
189,榮星段三小段153
190,中正段三小段16
191,西松段三小段130-1
192,延吉段三小段253-4
193,虎林段一小段709
194,信義段一小段342
195,南港段一小段1062
196,城中段一小段359
197,城中段一小段360
198,玉成段三小段514
199,學府段二小段198
200,莒光段四小段838
201,萬大段二小段321
202,萬慶段一小段260
203,圓環段三小段560
204,圓環段三小段560-1
205,圓環段三小段560-22
206,圓環段三小段560-23
207,芝蘭段一小段222
208,芝蘭段一小段432
209,雙連段二小段284-1
210,仁愛段四小段226
211,仁愛段四小段229
212,復興段三小段743
213,學府段四小段271
214,學府段四小段271-1
215,興隆段二小段146
216,興隆段四小
217,豐年段三小段16-1
218,豐年段三小段19
219,豐年段三小段21
220,豐年段三小段22
221,延吉段一小段238
222,敦化段二小段487
223,中南段五小段333
224,中南段五小段557
225,南港段四小段512
226,新光段二小段274
227,學府段一小段284
228,懷生段二小段244
229,犁和段一小段145-17
230,光華段三小段97
231,德惠段三小段881-7
232,德惠段三小段881-8
233,逸仙段二小段401
234,光華段四小段663
235,光華段四小段664
236,芝山段一小段371
237,陽明段四小段202
238,復興段一小段629
239,學府段一小段450
240,學府段一小段452
241,學府段一小段461
242,學府段一小段463
243,學府段一小段466
244,北安段三小段61
245,大湖段二小段240
246,文德段一小段49
247,木柵段二小段757
248,實踐段三小段605
249,大業段四小段485
250,奇岩段一小段346
251,振興段一小段484
252,逸仙段二小段456
253,海光段一小段440
254,陽明段四小段202
255,仁愛段一小段63-1
256,仁愛段六小段138
257,復興段三小段305-1
258,段三小段4-1
259,段三小段4-1區懷生段二小段221
260,段三小段4-1區懷生段二小段252
261,中山段四小段213-1
262,南海段三小段866
263,南海段三小段866-2
264,南海段三小段867
265,南海段三小段867-1
266,萬隆段一小段463
267,民生段27-25
268,民生段28-54
269,寶清段一小段604
270,永春段二小段221
271,永春段二小段221-1
272,雅祥段一小段620
273,復興段一小段671-2
274,大安段一小段103-1
275,大安段93-1
276,大安段94-1
277,圓環段三小段560
278,圓環段三小段560-1
279,圓環段三小段560-22
280,圓環段三小段560-23
281,圓環段三小段-
282,仁愛段四小段57
283,陽明段一小段516
284,陽明段一小段516-1
285,陽明段一小段519
286,陽明段一小段520
287,陽明段一小段520-1
288,陽明段一小段523
289,陽明段一小段525
290,河堤段二小段223
291,臨沂段一小段203-1
292,仁愛段四小段6
293,仁愛段四小段6
294,辛亥段四小段357-1
295,辛亥段四小段357-2
296,辛亥段四小段363
297,辛亥段四小段363-1
298,海光段二小段387-1
299,福德段二小段529-4
300,福德段二小段529-5
301,福和段一小段127
302,懷生段三小段310
303,陽明段二小段265
304,陽明段二小段265-1
305,海光段一小段433
306,海光段一小段496
